multiplier,cor_min,cor_max,cor_mean,cor_median,cor_EL,cor_EG,cor_EA,cor_LG,cor_LA,cor_GA,E_mean,E_sd,E_min,E_max,L_mean,L_sd,L_min,L_max,G_mean,G_sd,G_min,G_max,A_mean,A_sd,A_min,A_max,mean_diff_EL,mean_diff_EG,mean_diff_EA,max_diff,n_valid
19,0.9221732739329217,0.9910278905003197,0.9595554191366701,0.9652475833430272,0.9221732739329217,0.927893857357712,0.9563191618089433,0.9741760048771111,0.9910278905003197,0.985742326343013,0.8399075409205586,0.23829327700654926,0.22929889041053342,1,0.8478201948036823,0.23407922655534194,0.26144440576251327,1,0.9013684012566633,0.14923995356476713,0.536576040371129,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.040309223122359475,0.06747729127230959,0.04588928655775221,0.4561361763012396,86
20,0.9219838421717577,0.9910108641868621,0.9594587866882037,0.9651754667017932,0.9219838421717577,0.9276948964294889,0.9562174201032653,0.9741335133003212,0.9910108641868621,0.9857121839375271,0.839472009643691,0.23896035113048017,0.2270206054820726,1,0.8476605894321126,0.23433481463058137,0.26066284832032627,1,0.9013259527539726,0.14931574765094233,0.536311968387597,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.040569960967940334,0.0678537913684419,0.046259682629915796,0.45832340209898603,86
21,0.9218116507315826,0.9909954033132662,0.9593709192768409,0.9651098541446761,0.9218116507315826,0.927514012279133,0.9561248051564869,0.9740949031328654,0.9909954033132662,0.9856847410477118,0.8390743506517657,0.23956947272456489,0.2249404322871088,1,0.8475156604165274,0.23456690800930508,0.2599531582286043,1,0.9012874075618809,0.1493845871239364,0.536072178885167,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04080829097038561,0.06819765963935155,0.04659787034796885,0.46032088941671223,86
22,0.9216544486804689,0.990981301554532,0.9592906763805069,0.9650499040863048,0.9216544486804689,0.9273488488758831,0.9560401422595348,0.9740596659130748,0.990981301554532,0.9856596509995479,0.8387098299091804,0.24012787905093294,0.22303360685789164,1,0.8473834724133038,0.23477860390916058,0.25930585847470444,1,0.9012522509581028,0.14944738717259365,0.5358534697786196,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04102698061945352,0.06851296150155887,0.0469078757561803,0.4621522980567332,86
23,0.9215103605599712,0.9909683873048213,0.959217107081587,0.9649949140785796,0.9215103605599712,0.9271974424946232,0.955962449903973,0.9740273782531862,0.9909683873048213,0.9856366239729473,0.8383744708259886,0.24064165050847933,0.221279327463132,1,0.8472624160314174,0.23497247807292118,0.2587130681742146,1,0.9012200549104323,0.1495049091583898,0.5356531782811038,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04122836002143862,0.06880311409771162,0.04719308073174489,0.46383751154985237,86
24,0.921377811235454,0.9909565166719331,0.9591484179713511,0.9649425101239308,0.921377811235454,0.9270572710768555,0.9558909016510925,0.9739941185967693,0.9909565166719331,0.9856138885960019,0.8380649085953675,0.24111593289327593,0.2196599926370459,1,0.8471511419834221,0.2351506900850147,0.2581681801200685,1,0.9011889718356961,0.14956037881481538,0.5354690719549775,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04141440495951596,0.06906952181066409,0.04745634686302383,0.4653933615571984,86
25,0.921255468099382,0.9909455681015799,0.9590848173021906,0.964893778324796,0.921255468099382,0.926927709585249,0.9558247966847523,0.9739627599648395,0.9909455681015799,0.985592601377341,0.8377782769003168,0.24155511031586985,0.21816060853928143,1,0.8470485105799208,0.23531506415550754,0.2576656134683234,1,0.9011600203178183,0.14961203787677582,0.535299265149525,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04158680173230623,0.06931597214246177,0.047700111799409826,0.4668341916960146,86
26,0.9211414580953381,0.9909354382059363,0.9590256349819739,0.9648482368005912,0.9211414580953381,0.926807564212864,0.9557627346529782,0.9739337389482041,0.9909354382059363,0.9855728757765224,0.8375115708162941,0.24196392163694933,0.21676832330524987,1,0.8469535525523828,0.23546715178953795,0.2572006218930014,1,0.90113321967281,0.14965984462444648,0.5351421541798704,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.041747546347901295,0.06954540484909576,0.047927013036111625,0.46817230083709727,86
27,0.9210354412441668,0.9909260384930298,0.9589706140175822,0.9648058470611589,0.9210354412441668,0.9266959645674552,0.9557048907152759,0.9739068034070418,0.9909260384930298,0.9855545456785241,0.8372631421792089,0.24234476720107764,0.21547205774256523,1,0.8468654383466472,0.2356082809102237,0.25676914322423866,1,0.9011083377443664,0.14970421481539592,0.5349963665232835,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04189741921565629,0.06975916231538898,0.04813838198775807,0.469418294890153,86
28,0.9209367407058107,0.9909172927779704,0.9589193832307333,0.9647663679333283,0.9209367407058107,0.9265920562279244,0.955650996876687,0.9738817389899694,0.9909172927779704,0.985537473806038,0.8370312754512826,0.24270024082580804,0.21426220988409295,1,0.8467834538248001,0.2357395947325674,0.25636768046269576,1,0.9010851867326948,0.14974550243622356,0.5348607206168691,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04203738541701809,0.06995870784076774,0.04833565967593655,0.4705813683875253,86
