obs_id,market_pig,market_pig_original,log_scale,size_class,Report_year,Scale-up,No.,E_TE_VRS,E_TE_CRS,E_SE,L_TE_VRS,L_TE_CRS,L_SE,G_TE_VRS,G_TE_CRS,G_SE,A_TE_VRS,A_TE_CRS,A_SE,Meta_TE_VRS,Meta_TE_CRS,Meta_Source,E_TGR_VRS,E_TGR_CRS,L_TGR_VRS,L_TGR_CRS,G_TGR_VRS,G_TGR_CRS,A_TGR_VRS,A_TGR_CRS
11,0.3622641509433962,4800,3.681241237375587,Small,2024,0,F46,1,0.8099574671120062,0.8099574671120062,0.9999999999992304,0.44307248503724894,0.44307248503758995,1,0.7370446201042444,0.7370446201042444,1,0.6500197115176977,0.6500197115176977,1,0.8099574671120062,E,1,1,0.9999999999992304,0.5470317924434641,1,0.9099794125391044,1,0.802535611944434
12,0.36377358490566036,4820,3.6830470382388496,Small,2022,0,F3,1,0.9326355226784095,0.9326355226784095,1,0.7829921351336409,0.7829921351336409,1,0.8680311757560947,0.8680311757560947,1,0.8483040635794449,0.8483040635794449,1,0.9326355226784095,E,1,1,1,0.8395478363133627,1,0.9307292663089012,1,0.9095772603033867
13,0.36981132075471695,4900,3.690196080028514,Small,2023,0,F31,0.7582621554140974,0.6513676695339439,0.8590270065347295,0.34942447856648556,0.34842348039092347,0.9971352946431552,0.7322267980477077,0.5289224905663933,0.7223479009189878,0.5867605433298992,0.5596164612517571,0.9537390808112319,0.7582621554140974,0.6513676695339439,E,1,1,0.4608227854595487,0.5349106145231646,0.9656644378458116,0.8120183351206844,0.7738227988042754,0.8591406780323698
14,0.37358490566037733,4950,3.694605198933569,Small,2024,0,F33,0.47886972144981954,0.38012044100376313,0.7937867523820792,0.5384923001584462,0.37693630447971305,0.699984576137492,0.6443691245148611,0.5623451897013598,0.8727066029502015,0.5836365032129612,0.4815120486829158,0.8250204468571741,0.6443691245148611,0.5623451897013598,G,0.7431605631482664,0.6759557082823642,0.835689172046956,0.6702934627748653,1,1,0.9057487098755317,0.8562570775054172
15,0.3772075471698113,4998,3.6987962517904314,Small,2024,0,F9,1,0.5781673178455455,0.5781673178455455,1,0.47642625257918414,0.47642625257918414,1,0.6614876126118103,0.6614876126118103,1,0.5892358503540042,0.5892358503540042,1,0.6614876126118103,E,1,0.874041035421232,1,0.7202345795986534,1,1,1,0.8907738242103611
16,0.37735849056603776,5000,3.6989700043360187,Small,2024,0,F48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1
17,0.39245283018867927,5200,3.716003343634799,Small,2021,0,F28,0.36773633096728053,0.31146493091125615,0.8469789484546982,0.37244261881119833,0.29725497102092596,0.7981228678117874,0.5923031382050796,0.5003656224434224,0.8447796240954161,0.507940846066074,0.4008369203103508,0.7891409470507695,0.5923031382050796,0.5003656224434224,G,0.6208583194100098,0.6224746803952829,0.628804061278236,0.5940755273500775,1,1,0.8575690610138286,0.8010880490808987
18,0.4528301886792453,6000,3.7781512503836434,Small,2023,1,F3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1
19,0.4528301886792453,6000,3.7781512503836434,Small,2025,N/A,F11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1
20,0.5169811320754717,6850,3.8356905714924254,Small,2025,N/A,F6,1,0.5348752706126589,0.5348752706126589,1,0.5395153663285106,0.5395153663285106,1,0.7395317092576449,0.7395317092576449,1,0.6357823435007536,0.6357823435007536,1,0.7395317092576449,E,1,0.7232621183337443,1,0.7295364885301345,1,1,1,0.8597093749218181
