obs_id,market_pig,market_pig_original,log_scale,size_class,Report_year,Scale-up,No.,E_TE_VRS,E_TE_CRS,E_SE,L_TE_VRS,L_TE_CRS,L_SE,G_TE_VRS,G_TE_CRS,G_SE,A_TE_VRS,A_TE_CRS,A_SE
26,0.6037735849056604,8000,3.9030899869919438,Small,2025,N/A,F7,0.9999999999994377,0.4150383434016005,0.4150383434018339,1,0.5029461817352254,0.5029461817352254,1,0.6974833348288675,0.6974833348288675,1,0.6084882937621234,0.6084882937621234
27,0.6792452830188679,9000,3.9542425094393248,Small,2024,1,F12,0.9999999999999561,0.44078447397169007,0.4407844739717094,0.9999999999999565,0.49372498112592256,0.49372498112594404,1,0.7058214029190922,0.7058214029190922,0.9999999999999566,0.592687854826638,0.5926878548266638
28,0.6792452830188679,9000,3.9542425094393248,Small,2025,1,F9,1,0.5122527105205505,0.5122527105205505,1,0.5709234516320454,0.5709234516320454,1,0.8169618798729834,0.8169618798729834,1,0.6690427768180475,0.6690427768180475
29,0.6792452830188679,9000,3.9542425094393248,Small,2025,N/A,F8,0.7815653802083167,0.3528812795173342,0.45150577092255295,0.838814272965817,0.3458412102380029,0.4122977176046413,0.8679932479272766,0.6672167061739764,0.7686888207566772,0.8486988493180261,0.49326741420543146,0.5812042924316413
30,0.6943396226415094,9200,3.963787827345555,Small,2020,1,F1,0.999999999999535,0.999999999999535,1,0.9999999999995347,0.9999999999995347,1,0.999999999999535,1,1.000000000000465,0.999999999999535,0.9999999999995347,0.9999999999999997
31,0.6943396226415094,9200,3.963787827345555,Small,2024,0,F27,0.999999999999535,0.999999999999535,1,0.999999999999535,0.999999999999535,1,1,0.999999999999535,0.999999999999535,1,0.999999999999535,0.999999999999535
32,0.7175849056603774,9508,3.9780891730561425,Small,2025,N/A,F10,1,0.5595832600085333,0.5595832600085333,1,0.7295496106498529,0.7295496106498529,1,0.8656879105577577,0.8656879105577577,1,0.743246219355323,0.743246219355323
33,0.7547169811320755,10000,4,Medium,2018,0,F53,1,0.5733653721616998,0.5733653721616998,1,0.35414772300376096,0.35414772300376096,1,0.520189625572028,0.520189625572028,1,0.45826386754550175,0.45826386754550175
34,0.7547169811320755,10000,4,Medium,2021,N/A,F35,1,0.7777410271525647,0.7777410271525647,1,0.6027769709635631,0.6027769709635631,1,0.8465372866146725,0.8465372866146725,1,0.7468936882131774,0.7468936882131774
35,0.7547169811320755,10000,4,Medium,2022,N/A,F23,1,0.5442219658417744,0.5442219658417744,1,0.5709007198932761,0.5709007198932761,1,0.801118899854733,0.801118899854733,1,0.658259024602338,0.658259024602338
36,0.7547169811320755,10000,4,Medium,2025,1,F47,1,0.26535325198515003,0.26535325198515003,1,0.5377793919860788,0.5377793919860788,1,0.7426908514071572,0.7426908514071572,1,0.5526383238745646,0.5526383238745646
37,0.7637735849056604,10120,4.00518051250378,Medium,2025,1,F13,1,0.641340562012768,0.641340562012768,1,0.33960738053721007,0.33960738053721007,1,0.6106823322401099,0.6106823322401099,1,0.5380770189989043,0.5380770189989043
38,0.8301886792452831,11000,4.041392685158225,Medium,2025,1,F33,0.41756520556432813,0.3371705495002536,0.8074680193829289,0.5409234088994526,0.35993834740700914,0.66541462522269,0.6686213068876661,0.605221141584016,0.9051777670700197,0.6215899235849939,0.49723375217790533,0.7999385661050141
39,0.8950943396226415,11860,4.074084689028243,Medium,2024,0,F15,0.7412869805427756,0.5030422543637181,0.6786066227621952,0.7807182787653746,0.44856741815653056,0.5745573407937798,0.8519108339895726,0.7532704610247238,0.8842127966574773,0.8272741128762615,0.5968720638609251,0.7214924951364959
40,0.9056603773584906,12000,4.079181246047625,Medium,2020,N/A,F41,0.999999999998562,0.5600104224789022,0.5600104224797074,0.9999999999772785,0.6741052352682033,0.67410523528352,1,0.8611732419147379,0.8611732419147379,1,0.7183986497722359,0.7183986497722359
41,0.9056603773584906,12000,4.079181246047625,Medium,2023,1,F24,1,0.7697813970433959,0.7697813970433959,1,0.5997240552331436,0.5997240552331436,1,0.8242335337002946,0.8242335337002946,1,0.7226740598631534,0.7226740598631534
42,0.9056603773584906,12000,4.079181246047625,Medium,2025,1,F46,0.544520967127792,0.4321977911295077,0.7937211185994175,0.6100766025032297,0.4281092207649625,0.7017302729007643,0.7538868100561703,0.6831234063070188,0.9061352409868014,0.6854736609795322,0.5562211608861356,0.8114406031171254
43,0.9811320754716981,13000,4.113943352306837,Medium,2021,1,F14,1,0.6238745521840025,0.6238745521840025,1,0.5818544942692517,0.5818544942692517,1,0.766367443512511,0.766367443512511,1,0.6822703926468406,0.6822703926468406
44,1.0188679245283019,13500,4.1303337684950066,Medium,2025,1,F27,0.8141429643432393,0.7458734874558205,0.91614559128139,0.938328857045842,0.8776544522949166,0.9353378036971518,0.938328857045842,0.9041469171503156,0.9635714710904852,0.9112666285896103,0.8583323897027885,0.9419113602692228
45,1.0566037735849056,14000,4.146128035678238,Medium,2025,1,F29,0.6013596336614985,0.32831192029280903,0.5459493818928554,0.8200835136761465,0.4016212617600925,0.4897321493024111,0.8031630068682715,0.6733326767188075,0.8383512076138764,0.7628068822592615,0.4851766591928359,0.6360412713580301
46,1.1320754716981132,15000,4.176091259055681,Medium,2021,N/A,F43,1,0.6883286571611823,0.6883286571611823,1,0.526994795828441,0.526994795828441,1,0.7745437230625334,0.7745437230625334,1,0.6666565025784995,0.6666565025784995
47,1.2075471698113207,16000,4.204119982655925,Medium,2022,1,F28,0.4035777204544957,0.35677573501763105,0.8840322865589364,0.48170008746715187,0.35281180296214837,0.7324304315934079,0.6397343651500228,0.5886148060021585,0.9200925228772472,0.5765806406698,0.49287615510041366,0.8548260561226114
48,1.3584905660377358,18000,4.2552725051033065,Medium,2021,N/A,F25,1,1,1,0.9999999999999566,0.9999999999999566,1,1,1,1,1,0.9999999999999566,0.9999999999999566
49,1.3584905660377358,18000,4.2552725051033065,Medium,2025,1,F45,0.2270206054820726,0.20924660202991485,0.9217075321668926,0.46485076634105815,0.32920402640673435,0.708192930384887,0.6853440075810586,0.6541438899833264,0.9544752456392609,0.5186739768367226,0.45589848066986716,0.8789692582039508
50,1.471320754716981,19495,4.289923239524004,Medium,2025,1,F48,0.504321508419792,0.45944527018829046,0.9110166084882761,0.6406339360581532,0.43913478116216054,0.6854691212023122,0.7421161673812886,0.7144570035052797,0.9627293339079109,0.6768099859870838,0.5622389185600244,0.8307190056305613
51,1.4913207547169811,19760,4.29578694025161,Medium,2025,1,F15,0.545377840945674,0.4806026778446187,0.8812288321272157,0.5970463338953684,0.4250172337447623,0.7118664157466311,0.7664876770115112,0.7224962285665849,0.9426064504827445,0.6910745152708138,0.5721775548048064,0.8279534871584509
52,1.509433962264151,20000,4.301029995663981,Medium,2019,N/A,F22,1,1,1,1,1,1,1,1,1,1,1,1
53,1.509433962264151,20000,4.301029995663981,Medium,2025,N/A,F16,1,0.9131313473190208,0.9131313473190208,1,0.9100877837354786,0.9100877837354786,1,0.9025814227431296,0.9025814227431296,1,0.9099145933352469,0.9099145933352469
54,1.5359245283018867,20351,4.308585754289083,Medium,2025,N/A,F17,1,0.5964597955659736,0.5964597955659736,1,0.8535347966437978,0.8535347966437978,1,0.9360771184106847,0.9360771184106847,1,0.8284914372556187,0.8284914372556187
55,1.5592905660377356,20660.6,4.315142929618521,Medium,2021,N/A,F44,0.479058141598491,0.41340683382006393,0.862957536721188,0.27410032746290286,0.170885152586884,0.62344016210638,0.536311968387597,0.5152440223021092,0.9607169943478461,0.4389025230174195,0.3430746795087121,0.7816648606850134
56,1.6603773584905661,22000,4.342422680822207,Medium,2025,N/A,F39,0.37672589202537504,0.31404043455031205,0.8336045947411528,0.39719392518967167,0.25377655497454743,0.6389235556746286,0.5511277688092473,0.5250304546706538,0.9526474338337575,0.4739455729202051,0.36802640331732384,0.7765161747365574
57,1.7509433962264151,23200,4.365487984890899,Medium,2022,1,F21,1,0.6258704478430702,0.6258704478430702,1,0.7060073002262263,0.7060073002262263,1,0.83905351961104,0.83905351961104,1,0.7391463734029059,0.7391463734029059
58,1.8113207547169812,24000,4.380211241711606,Medium,2024,1,F31,0.5432151972240373,0.4964441958442368,0.9138996817121248,0.5828272819569752,0.47554164558096607,0.8159220755490835,0.7374285474406147,0.7152855284448453,0.9699726582695761,0.6597566106764322,0.587538413168192,0.8905381221808499
59,1.8339622641509434,24300,4.385606273598312,Medium,2020,N/A,F32,0.7383925229185984,0.7241574152700776,0.980721489984413,0.6528121582342443,0.6093314560855594,0.9333947727531707,0.8713675293798283,0.8299123733349917,0.9524251769235179,0.7601426337701607,0.7368732045860367,0.9693880751449079
60,1.9622641509433962,26000,4.414973347970818,Medium,2019,1,F53,0.7151448739208771,0.6667056130855454,0.9322665062678042,0.27751928484255384,0.24394278915288092,0.8790120271867881,0.5377305141671979,0.5121116404753405,0.9523574113484443,0.47393792101711507,0.44298213949740517,0.9346838897101208
61,1.9622641509433962,26000,4.414973347970818,Medium,2024,N/A,F18,0.2536155662666105,0.21680237562280802,0.8548464860193044,0.26066284832032627,0.20334952502821327,0.7801246949404882,0.5702354462135505,0.5652005052373228,0.9911704173957258,0.4118590681555782,0.3651080392121455,0.8864877999340962
62,2.2641509433962264,30000,4.477121254719663,Medium,2018,0,F62,0.8888957080019892,0.8888955768470422,0.9999998524518166,0.8889519219272825,0.8888955768470422,0.9999366162794068,0.8900222286560365,0.8888955768470422,0.9987341307073919,0.8888888888892585,0.8888955768470422,1.0000075239525066
63,2.2641509433962264,30000,4.477121254719663,Medium,2019,0,F56,0.4296781188844491,0.40067204340517737,0.9324934777815107,0.29813941946612404,0.22176148543473229,0.7438180628104759,0.6001663953010757,0.5822298425260426,0.9701140335155967,0.4710486569393141,0.40840565653218985,0.8670137373617549
64,2.2641509433962264,30000,4.477121254719663,Medium,2025,N/A,F42,0.6048563781187029,0.5789237729970558,0.9571260119595567,0.6317668926943942,0.575572851154251,0.9110525698798749,0.8008479389205497,0.7910720507750936,0.987793078223273,0.7156632514422192,0.6749734189701456,0.9431438845154133
65,2.2713962264150944,30096,4.4785087782063036,Medium,2021,N/A,F49,0.6990778081110742,0.6841311408655913,0.9786194511225165,0.7987037930835557,0.7356049495739758,0.9209984426567274,0.8340974734037254,0.817139791847255,0.979669424620997,0.8013509397131964,0.7649293420271666,0.954549753571057
66,2.6739622641509433,35430,4.549371152333177,Medium,2020,N/A,F19,0.999999999999457,0.999999999999457,1,0.999999999999457,0.999999999999457,1,0.999999999999457,0.9999999999994569,0.9999999999999999,0.999999999999457,0.999999999999457,1
67,3.018867924528302,40000,4.6020599913279625,Medium,2021,N/A,F37,1,1,1,1,1,1,1,1,1,1,1,1
68,3.018867924528302,40000,4.6020599913279625,Medium,2024,N/A,F26,0.4625660423170412,0.4559267906334391,0.9856469107625251,0.6291555140944096,0.6053034265447423,0.9620887252589698,0.76305613245678106,0.7564480304213143,0.9913399529151401,0.6482505616676967,0.6325193990578105,0.975732897832875
69,3.018867924528302,40000,4.6020599913279625,Medium,2024,N/A,F40,1,1,1,1,1,1,1,1,1,1,1,1
70,3.6110943396226416,47847,4.679854712765105,Medium,2021,N/A,F38,0.5241147385570577,0.5232161246940258,0.9982854634740747,0.7777375387936778,0.7369211032899972,0.9475190106330863,0.8101046878196615,0.8093117624909283,0.9990212063444944,0.7358376026920838,0.7162631011361255,0.9733983402256906
71,3.7735849056603774,50000,4.698970004336019,Medium,2021,N/A,F36,1,1,1,1,1,1,1,1,1,1,1,1
72,3.7735849056603774,50000,4.698970004336019,Medium,2022,1,F30,1,1,1,1,1,1,1,1,1,1,1,1
73,4.528301886792453,60000,4.778151250383644,Large,2021,N/A,F34,1,1,1,1,1,1,1,1,1,1,1,1
74,5.449056603773585,72200,4.858537197569639,Large,2020,N/A,F20,1,1,1,1,1,1,1,1,1,1,1,1
75,6.037735849056604,80000,4.903089986991944,Large,2019,1,F50,1,1,1,1,1,1,1,1,1,1,1,1
76,7.547169811320755,100000,5,Large,2020,N/A,F58,1,1,1,1,1,1,1,1,1,1,1,1
77,7.547169811320755,100000,5,Large,2020,N/A,F51,1,1,1,1,1,1,1,1,1,1,1,1
78,7.547169811320755,100000,5,Large,2020,N/A,F52,0.6450086424611222,0.6285011202344383,0.9744072852052073,0.549554179214417,0.5310409397764952,0.9663122579389966,0.5904648844810715,0.5723219353332869,0.969273449404651,0.6036993436438116,0.5772142009062036,0.9561285878203065
79,9.433962264150944,125000,5.096910013008056,Large,2020,N/A,F57,0.8196121608699827,0.6475549791495888,0.7900748793944655,0.7912073775850139,0.7473155783861182,0.9445255435649933,0.8512019967196933,0.8495185271919625,0.9980222443859172,0.8552833326506006,0.7726399454163521,0.9033730880992042
80,9.81132075471698,130000,5.113943352306837,Large,2019,1,F62,0.9999999999992206,0.9999999999992206,1,0.9999999999992206,1,1.0000000000007794,1,1,1,1,1,1
81,13.584905660377359,180000,5.2552725051033065,Large,2020,N/A,F59,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,1,1,1,0.9999999999999999,0.9999999999999999
82,15.09433962264151,200000,5.301029995663981,Large,2020,N/A,F54,1,1,1,1,1,1,1,1,1,1,1,1
83,15.152150943396226,200766,5.302690166328378,Large,2020,N/A,F55,1,1,1,1,1,1,1,1,1,1,1,1
84,27.169811320754718,360000,5.556302500767287,Large,2020,1,F56,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999
85,27.169811320754718,360000,5.556302500767287,Large,2020,N/A,F60,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999,1,0.9999999999999999,0.9999999999999999
86,27.169811320754718,360000,5.556302500767287,Large,2021,N/A,F61,1,1,1,1,1,1,1,1,1,1,1,1
